Mean: 4.187093333333333, SE: 0.009684094259798031, STDEV: 0.06847688720752908, n: 50, r: 1, points: 1000, t: 0 s
Mean: 4.2001066666666675, SE: 0.01046585394825541, STDEV: 0.07400476297719404, n: 50, r: 1, points: 1000, t: 0 s
Mean: 4.167466666666667, SE: 0.009025275669309472, STDEV: 0.06381833627846684, n: 50, r: 1, points: 1000, t: 0 s
Mean: 4.184000000000001, SE: 0.010821461836608731, STDEV: 0.07651929047017465, n: 50, r: 1, points: 1000, t: 0 s
Mean: 4.183644444444444, SE: 0.014421628901125267, STDEV: 0.0789905146511475, n: 30, r: 1, points: 1000, t: 0 s
Mean: 4.183683333333336, SE: 0.003855013314616313, STDEV: 0.06896057460519088, n: 320, r: 1, points: 1000, t: 0 s
Mean: 4.192250000000002, SE: 0.003825751782070375, STDEV: 0.06843712839800256, n: 320, r: 1, points: 1000, t: 0 s
Mean: 4.188183333333325, SE: 0.0012083936685701475, STDEV: 0.06835706859110725, n: 3200, r: 1, points: 1000, t: 0 s
// r = 3
Mean: 113.256, SE: 0.9741162148327078, STDEV: 3.080425944573254, n: 10, r: 3, points: 1000, t: 0 s
Mean: 112.93920000000007, SE: 0.19751179481466213, STDEV: 1.9751179481466214, n: 100, r: 3, points: 1000, t: 0 s
Mean: 113.18817599999952, SE: 0.05747809785263223, STDEV: 1.8176170478835099, n: 1000, r: 3, points: 1000, t: 0 s
Mean: 113.11214399999614, SE: 0.018659376961765346, STDEV: 1.8659376961765346, n: 10000, r: 3, points: 1000, t: 1 s
Mean: 113.10279983998483, SE: 0.005900892598234104, STDEV: 1.8660260838448652, n: 100000, r: 3, points: 1000, t: 17 s
Mean: 113.09560891185828, SE: 0.0018697160405651194, STDEV: 1.8697160405651194, n: 1000000, r: 3, points: 1000, t: 166 s
Mean: 113.09712436736145, SE: 0.0005912400219798302, STDEV: 1.8696651133042788, n: 10000000, r: 3, points: 1000, t: 1637 s
Mean: 113.25600000000003, SE: 0.40821414258559996, STDEV: 2.2358809418676335, n: 30, r: 3, points: 1000, t: 0 s
Mean: 113.03819999999999, SE: 0.10357579206645903, STDEV: 1.8528200950718865, n: 320, r: 3, points: 1000, t: 0 s
Mean: 113.09508000000103, SE: 0.03220245561166211, STDEV: 1.8216459787092056, n: 3200, r: 3, points: 1000, t: 0 s
Mean: 113.09601931185945, SE: 0.0018705460369502578, STDEV: 1.8705460369502578, n: 1000000, r: 3, points: 1000, t: 167 s
Mean: 113.09877619185694, SE: 0.001870590238810481, STDEV: 1.8705902388104811, n: 1000000, r: 3, points: 1000, t: 166 s
Mean: 4.187994666666667, SE: 0.0022157647856080515, STDEV: 0.07006863481716119, n: 1000, r: 1, points: 1000, t: 0 s
